date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2017-10-18 20:00:00,7.099999904632568,1.0049999952316284,4.547999858856201,-0.1420000046491623,2.650000095367432,0.975000023841858,9.003999710083008
2017-10-18 20:15:00,6.764999866485598,1.0049999952316284,4.2290000915527335,-0.1420000046491623,2.5280001163482666,0.9139999747276306,8.442000389099121
2017-10-18 20:30:00,6.429999828338622,0.9380000233650208,3.872999906539917,-0.2129999995231628,2.4670000076293945,0.9139999747276306,8.230999946594237
2017-10-18 20:45:00,6.09499979019165,0.9380000233650208,3.802000045776367,-0.2129999995231628,2.2839999198913574,0.944000005722046,7.948999881744385
2017-10-18 21:00:00,8.305999755859375,0.7369999885559082,6.1479997634887695,0.2129999995231628,2.2239999771118164,1.0049999952316284,8.020000457763674
2017-10-18 21:15:00,8.907999992370605,1.807999968528748,6.076000213623048,0.4970000088214874,2.0710000991821294,0.944000005722046,7.668000221252441
2017-10-18 21:30:00,8.706999778747559,1.6740000247955322,6.076000213623048,0.4259999990463257,2.101999998092652,0.944000005722046,7.597000122070312
2017-10-18 21:45:00,7.903999805450439,1.5410000085830688,6.183000087738037,0.6039999723434448,2.04099988937378,0.975000023841858,7.73799991607666
2017-10-18 22:00:00,8.77400016784668,2.2100000381469727,6.610000133514402,0.7820000052452087,2.0710000991821294,0.944000005722046,7.597000122070312
2017-10-18 22:15:00,10.11400032043457,3.0810000896453857,7.853000164031982,1.7059999704360962,2.497999906539917,1.097000002861023,7.315999984741211
2017-10-18 22:30:00,10.717000007629396,3.41599988937378,7.923999786376952,1.5279999971389768,2.497999906539917,1.065999984741211,7.315999984741211
2017-10-18 22:45:00,9.913000106811523,2.880000114440918,7.604000091552732,2.1679999828338623,2.315000057220459,1.065999984741211,7.315999984741211
2017-10-18 23:00:00,11.185999870300291,4.019000053405762,8.883999824523926,2.203000068664551,2.253999948501587,1.0049999952316284,7.315999984741211
